Epoch: 0
  0%|          | 0/4000 [00:00<?, ?it/s]
Loss: 1.8024861812591553, Accuracy: 0.5
Loss: 3.127270221710205, Accuracy: 0.5
Loss: 2.924264430999756, Accuracy: 0.5
Loss: 3.6873087882995605, Accuracy: 0.0
Loss: 3.700324535369873, Accuracy: 0.0
Loss: 3.4679129123687744, Accuracy: 0.0
Loss: 2.9561614990234375, Accuracy: 0.0
Loss: 2.965970039367676, Accuracy: 0.0
Loss: 3.2679243087768555, Accuracy: 0.0
Loss: 2.5317301750183105, Accuracy: 0.5
Loss: 4.038173675537109, Accuracy: 0.0
Loss: 4.092462062835693, Accuracy: 0.0
Loss: 3.1796555519104004, Accuracy: 0.5
Loss: 2.163337230682373, Accuracy: 0.5
Loss: 2.595316171646118, Accuracy: 0.5
Loss: 3.3724632263183594, Accuracy: 0.0
Loss: 2.825099229812622, Accuracy: 0.0
Loss: 3.661842107772827, Accuracy: 0.0
Loss: 1.7291431427001953, Accuracy: 0.5
Loss: 1.8650436401367188, Accuracy: 0.5
Loss: 2.563173770904541, Accuracy: 0.0
Loss: 4.601902961730957, Accuracy: 0.0
Loss: 4.43412446975708, Accuracy: 0.0
Loss: 1.5364561080932617, Accuracy: 0.5
Loss: 3.516953945159912, Accuracy: 0.0
Loss: 3.5597164630889893, Accuracy: 0.0
Loss: 3.3160338401794434, Accuracy: 0.0
Loss: 3.171165943145752, Accuracy: 0.5
Loss: 3.737830638885498, Accuracy: 0.0
Loss: 3.592332601547241, Accuracy: 0.0
Loss: 1.8441674709320068, Accuracy: 0.5
Loss: 2.687310218811035, Accuracy: 0.0
Loss: 3.098142147064209, Accuracy: 0.5
Loss: 2.1304895877838135, Accuracy: 0.5
Loss: 2.268301486968994, Accuracy: 0.5
Loss: 3.3673954010009766, Accuracy: 0.0
Loss: 0.6955877542495728, Accuracy: 1.0
Loss: 2.7065529823303223, Accuracy: 0.5
Loss: 3.739027738571167, Accuracy: 0.0
Loss: 2.6167049407958984, Accuracy: 0.5
Loss: 0.5253748297691345, Accuracy: 1.0
Loss: 3.7658467292785645, Accuracy: 0.0
Loss: 0.9752740859985352, Accuracy: 1.0
Loss: 2.883078098297119, Accuracy: 0.5
Loss: 0.2726077139377594, Accuracy: 1.0
Loss: 3.7634592056274414, Accuracy: 0.0
Loss: 0.0015675153117626905, Accuracy: 1.0
Loss: 3.994903326034546, Accuracy: 0.0
Loss: 3.758790969848633, Accuracy: 0.0
Loss: 3.4379682540893555, Accuracy: 0.0
Loss: 1.7582244873046875, Accuracy: 0.5
Loss: 4.19500732421875, Accuracy: 0.0
Loss: 1.8934305906295776, Accuracy: 0.5
Loss: 1.5786455869674683, Accuracy: 0.5
Loss: 0.8596805930137634, Accuracy: 1.0
Loss: 2.26295804977417, Accuracy: 0.5
Loss: 3.4732189178466797, Accuracy: 0.0
Loss: 2.8911964893341064, Accuracy: 0.5
Loss: 0.45687320828437805, Accuracy: 1.0
Loss: 0.47372180223464966, Accuracy: 1.0
Loss: 3.2693333625793457, Accuracy: 0.0
Loss: 4.010204792022705, Accuracy: 0.0
Loss: 2.9693987369537354, Accuracy: 0.5
Loss: 2.3786940574645996, Accuracy: 1.0
Loss: 2.1461241245269775, Accuracy: 0.0
Loss: 1.4358285665512085, Accuracy: 0.5
Loss: 0.1624080091714859, Accuracy: 1.0
Loss: 3.8958635330200195, Accuracy: 0.0
Loss: 0.9070953726768494, Accuracy: 1.0
Loss: 4.237888813018799, Accuracy: 0.0
Loss: 2.8497371673583984, Accuracy: 0.0
Loss: 1.3560034036636353, Accuracy: 1.0
Loss: 2.341660261154175, Accuracy: 0.5
Loss: 2.1003668308258057, Accuracy: 0.5
Loss: 0.12525343894958496, Accuracy: 1.0
Loss: 3.168396234512329, Accuracy: 0.5
Loss: 2.257540464401245, Accuracy: 0.5
Loss: 2.334015369415283, Accuracy: 0.5
Loss: 3.551896572113037, Accuracy: 0.0
Loss: 0.9773252606391907, Accuracy: 1.0
Loss: 2.4187803268432617, Accuracy: 0.5
Loss: 0.6782374978065491, Accuracy: 1.0
Loss: 2.938096523284912, Accuracy: 0.5
Loss: 1.1540533304214478, Accuracy: 0.5
Loss: 2.0327799320220947, Accuracy: 0.5
Loss: 0.06988414376974106, Accuracy: 1.0
Loss: 2.113440990447998, Accuracy: 0.5
Loss: 0.3177824020385742, Accuracy: 1.0
Loss: 4.8105244636535645, Accuracy: 0.0
Loss: 3.2242496013641357, Accuracy: 0.0
Loss: 2.4532525539398193, Accuracy: 0.5
Loss: 0.7725351452827454, Accuracy: 1.0
Loss: 4.502924919128418, Accuracy: 0.5
Loss: 1.3544468879699707, Accuracy: 0.0
Loss: 2.023653745651245, Accuracy: 0.5
Loss: 2.989065647125244, Accuracy: 0.5
Loss: 1.0846679210662842, Accuracy: 0.5
Loss: 1.8787556886672974, Accuracy: 0.5
Loss: 0.24504171311855316, Accuracy: 1.0
Loss: 1.7282674312591553, Accuracy: 0.5
Loss: 2.995584726333618, Accuracy: 0.5
Loss: 3.0858049392700195, Accuracy: 0.5
Loss: 1.5212862491607666, Accuracy: 0.5
Loss: 3.9441399574279785, Accuracy: 0.0
Loss: 3.221184730529785, Accuracy: 0.0
Loss: 4.111579895019531, Accuracy: 0.0
Loss: 1.8490279912948608, Accuracy: 0.5
Loss: 3.3028275966644287, Accuracy: 0.0
Loss: 2.522292375564575, Accuracy: 0.0
Loss: 2.467593193054199, Accuracy: 0.5
Loss: 0.8284843564033508, Accuracy: 1.0
Loss: 2.0734775066375732, Accuracy: 0.5
Loss: 2.297412395477295, Accuracy: 0.0
Loss: 0.774246871471405, Accuracy: 1.0
Loss: 0.4384187161922455, Accuracy: 1.0
Loss: 0.6258636116981506, Accuracy: 1.0
Loss: 2.459324836730957, Accuracy: 0.5
Loss: 3.539576530456543, Accuracy: 0.0
Loss: 1.6942436695098877, Accuracy: 0.5
Loss: 1.2850146293640137, Accuracy: 0.5
Loss: 3.247514009475708, Accuracy: 0.0
Loss: 1.684296727180481, Accuracy: 0.5
Loss: 1.3425663709640503, Accuracy: 0.5
Loss: 2.2053403854370117, Accuracy: 0.5
Loss: 3.303459644317627, Accuracy: 0.0
Loss: 0.220280259847641, Accuracy: 1.0
Loss: 1.1937929391860962, Accuracy: 0.5
Loss: 2.5781939029693604, Accuracy: 0.5
Loss: 0.05044140666723251, Accuracy: 1.0
Loss: 3.6146199703216553, Accuracy: 0.0
Loss: 1.7599905729293823, Accuracy: 0.0
Loss: 1.2737714052200317, Accuracy: 0.5
Loss: 3.6765265464782715, Accuracy: 0.0
Loss: 1.3481292724609375, Accuracy: 0.5
Loss: 4.13844108581543, Accuracy: 0.0
Loss: 0.6568579077720642, Accuracy: 1.0
Loss: 2.7625255584716797, Accuracy: 0.0
Loss: 3.3693366050720215, Accuracy: 0.0
